Kanji,Hiragana,English Meaning
青,あお,blue
赤,あか,red
秋,あき,autumn
朝,あさ,morning
足,あし,"foot, leg"
頭,あたま,head
後,あと,afterwards
兄,あに,(humble) older brother
姉,あね,(humble) older sister
雨,あめ,rain
飴,あめ,candy
家,いえ,house
池,いけ,pond
一,いち,one
犬,いぬ,dog
今,いま,now
妹,いもうと,(humble) younger sister
嫌,いや,unpleasant
色,いろ,colour
上,うえ,on top of
歌,うた,song
海,うみ,sea
絵,え,picture
駅,えき,station
弟,おとうと,younger brother
男,おとこ,Man
女,おんな,Woman
傘,かさ,Umbrella
風,かぜ,Wind
方,かた,"person, way of doing"
角,かど,a corner
紙,かみ,paper
体,からだ,Body
木,き,"tree, wood"
北,きた,North
九,きゅう,/ く Nine
薬,くすり,medicine
口,くち,"mouth, opening"
靴,くつ,Shoes
国,くに,Country
車,くるま,"car, vehicle"
黒,くろ,Black
五,ご,Five
声,こえ,Voice
魚,さかな,Fish
先,さき,"the future, previous"
三,さん,Three
四,し,/ よん Four
塩,しお,Salt
下,した,Below
七,しち,/ なな Seven
十,じゅう,とお Ten
白,しろ,White
背,せ,"height, stature"
千,せん,Thousand
外,そと,Outside
空,そら,Sky
卵,たまご,egg
誰,だれ,who
誰,だれか,somebody
次,つぎ,next
机,つくえ,desk
手,て,hand
戸,と,Japanese style door
所,ところ,place
年,とし,year
隣,となり,next door to
鳥,とり,bird
中,なか,middle
夏,なつ,summer
何,なん/なに,what
二,に,two
肉,にく,meat
西,にし,west
庭,にわ,garden
猫,ねこ,cat
歯,は,tooth
箱,はこ,box
橋,はし,bridge
八,はち,eight
花,はな,flower
鼻,はな,nose
話,はなし,"talk,story"
春,はる,spring
半,はん,half
晩,ばん,evening
東,ひがし,east
左,ひだり,left hand side
人,ひと,person
暇,ひま,free time
百,ひゃく,hundred
昼,ひる,"noon, daytime"
服,ふく,clothes
冬,ふゆ,winter
辺,へん,area
本,ほん,book
前,まえ,before
町,まち,"town,city"
窓,まど,window
万,まん,ten thousand
右,みぎ,right side
水,みず,water
店,みせ,shop
道,みち,street
緑,みどり,green
南,みなみ,south
耳,みみ,ear
村,むら,village
目,め,eye
物,もの,thing
門,もん,gate
山,やま,mountain
雪,ゆき,snow
横,よこ,"beside,side,width"
夜,よる,"evening,night"
零,れい,zero
六,ろく,six
私,わたくし,"(humble) I,myself"
私,わたし,"I,myself"
